original_probability,new_probability,confidence_diff,original_class,class_change,no_features,nsamples,explainer,time,reverse_order,i0,i1,i2,i3,i4,i5,i6,i7,i8,i9,i10
0.64050525,0.64050525,0.0,1,False,3,100,shap,1.8281054496765137,True,4,9,1,17,7,31,0,3,29,15,24
0.64050525,0.4984645,0.14204076,1,True,4,100,shap,2.154237747192383,False,4,9,1,17,7,31,0,3,29,15,24
0.64050525,0.6416936,-0.0011883378,1,False,4,100,shap,2.547185182571411,True,4,9,1,17,7,31,0,3,29,15,24
0.64050525,0.46850076,0.17200449,1,True,5,100,shap,3.0548245906829834,False,4,9,1,17,7,31,0,3,29,15,24
0.64050525,0.6353847,0.0051205754,1,False,5,100,shap,2.5124001502990723,True,4,9,1,17,7,31,0,3,29,15,24
0.64050525,0.45724225,0.183263,1,True,6,100,shap,2.470968723297119,False,4,9,1,17,7,31,0,3,29,15,24
0.64050525,0.63278925,0.007716,1,False,6,100,shap,2.2746427059173584,True,4,9,1,17,7,31,0,3,29,15,24
0.64050525,0.54294366,0.0975616,1,False,7,100,shap,3.251798152923584,False,4,9,1,17,7,31,0,3,29,15,24
0.64050525,0.6341597,0.00634557,1,False,7,100,shap,3.4988322257995605,True,4,9,1,17,7,31,0,3,29,15,24
0.64050525,0.38381058,0.25669467,1,True,8,100,shap,3.7171192169189453,False,4,9,1,17,7,31,0,3,29,15,24
0.64050525,0.6322921,0.008213162,1,False,8,100,shap,3.633653163909912,True,4,9,1,17,7,31,0,3,29,15,24
0.64050525,0.4058512,0.23465407,1,True,9,100,shap,3.5475101470947266,False,4,9,1,17,7,31,0,3,29,15,24
0.64050525,0.62343353,0.017071724,1,False,9,100,shap,2.6709115505218506,True,4,9,1,17,7,31,0,3,29,15,24
0.64050525,0.5173422,0.123163044,1,False,10,100,shap,1.8151500225067139,False,4,9,1,17,7,31,0,3,29,15,24
0.64050525,0.6340536,0.0064516664,1,False,10,100,shap,1.6595628261566162,True,4,9,1,17,7,31,0,3,29,15,24
0.60612196,0.60612196,0.0,1,False,0,100,shap,13.006990909576416,False,4,1,31,21,19,24,28,29,18,10,8
0.60612196,0.60612196,0.0,1,False,0,100,shap,2.0654778480529785,True,4,1,31,21,19,24,28,29,18,10,8
0.60612196,0.4357164,0.17040557,1,True,1,100,shap,2.1639201641082764,False,4,1,31,21,19,24,28,29,18,10,8
0.60612196,0.60612196,0.0,1,False,1,100,shap,1.7104246616363525,True,4,1,31,21,19,24,28,29,18,10,8
0.60612196,0.43483323,0.17128873,1,True,2,100,shap,1.4181761741638184,False,4,1,31,21,19,24,28,29,18,10,8
